Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus_Minus
Shai Gilgeous-Alexander,OKC,26,68,57,11,2335.3,2232,770,1474,52.2,145,392,37,547,606,90.3,60,282,342,429,170,120,71,151,3689,5,0,822
Anthony Edwards,MIN,23,70,40,30,2539,1912,628,1425,44.1,279,706,39.5,377,449,84,53,348,401,320,225,80,42,126,3014,6,0,209
Nikola Joki?,DEN,30,62,41,21,2262.9,1806,690,1201,57.5,117,283,41.3,309,383,80.7,179,617,796,637,203,109,43,143,3970,52,29,499
Jayson Tatum,BOS,27,66,48,18,2403.5,1791,612,1345,45.5,236,670,35.2,331,409,80.9,44,529,573,393,198,73,34,145,3191,29,2,490
Giannis Antetokounmpo,MIL,30,59,34,25,2004.3,1784,703,1172,60,9,47,19.1,369,613,60.2,137,571,708,350,189,50,72,144,3336,49,7,241
Cade Cunningham,DET,23,66,37,29,2320.9,1698,631,1367,46.2,141,398,35.4,295,344,85.8,53,352,405,609,295,68,49,183,3154,30,9,178
Devin Booker,PHX,28,66,34,32,2471.4,1696,565,1237,45.7,173,500,34.6,393,438,89.7,65,206,271,467,186,64,14,177,2770,13,0,-47
Jalen Brunson,NYK,28,61,39,22,2162.3,1606,558,1138,49,140,365,38.4,350,424,82.5,25,156,181,452,153,58,6,132,2540,13,0,156
Tyler Herro,MIA,25,68,30,38,2420.7,1595,564,1224,46.1,226,618,36.6,241,278,86.7,27,330,357,378,174,59,16,79,2641,9,0,-33
Trae Young,ATL,26,66,32,34,2379,1593,490,1194,41,183,552,33.2,430,492,87.4,31,179,210,753,318,76,11,128,2918,42,0,65
Kevin Durant,PHX,36,59,33,26,2177.7,1583,569,1078,52.8,153,359,42.6,292,350,83.4,22,338,360,258,184,47,75,100,2584,5,0,22
Donovan Mitchell,CLE,28,65,51,14,2027.7,1542,531,1207,44,214,583,36.7,266,323,82.4,48,234,282,312,134,85,12,126,2505,4,0,496
Karl-Anthony Towns,NYK,29,63,41,22,2204.9,1542,558,1063,52.5,130,306,42.5,296,355,83.4,189,623,812,192,162,62,46,219,2966,49,0,313
Jalen Green,HOU,23,72,46,26,2412.1,1537,541,1281,42.2,212,604,35.1,243,295,82.4,39,291,330,245,179,61,24,116,2377,3,0,150
James Harden,LAC,35,68,40,28,2386.9,1531,442,1115,39.6,204,591,34.5,443,507,87.4,46,350,396,591,302,101,45,141,3029,32,2,243
LeBron James,LAL,40,60,37,23,2092.2,1491,571,1107,51.6,133,349,38.1,216,282,76.6,62,426,488,506,233,55,35,86,2873,30,10,-70
DeMar DeRozan,SAC,35,66,33,33,2369.8,1465,537,1113,48.2,73,213,34.3,318,366,86.9,42,215,257,280,92,60,25,126,2356,2,0,71
De'Aaron Fox,SAS,27,62,27,35,2241.1,1459,539,1163,46.3,118,381,31,263,318,82.7,54,244,298,392,174,91,25,164,2579,9,0,-69
Pascal Siakam,IND,30,70,41,29,2306.3,1457,563,1076,52.3,118,302,39.1,213,286,74.5,117,374,491,238,101,61,34,180,2587,10,0,279
Zach LaVine,SAC,30,63,27,36,2196.3,1454,525,1031,50.9,195,448,43.5,209,255,82,19,264,283,270,181,55,12,91,2219,4,0,-5
Stephen Curry,GSW,37,60,34,26,1929.3,1449,476,1066,44.7,263,667,39.4,234,252,92.9,32,229,261,362,177,64,26,82,2398,8,0,211
Damian Lillard,MIL,34,58,32,26,2092.9,1447,444,992,44.8,197,524,37.6,362,393,92.1,29,243,272,410,162,70,10,97,2466,14,2,53
